CAP;CODICE;DATA_FINE;DESCR_D;DESCR_I;SIGLA;COM_CODICE
00023;A446;;Arsoli;Arsoli;RM;058010
33022;A447;;Arta Terme;Arta Terme;UD;030005
33011;A448;;Artegna;Artegna;UD;030006
00031;A449;;Artena;Artena;RM;058011
;A450;31/12/1989;;Arto;NO;003710
25040;A451;;Artogne;Artogne;BS;017007
11011;A452;;Arvier;Arvier;AO;007005
07021;A453;;Arzachena;Arzachena;SS;090006
08040;A454;;Arzana;Arzana;NU;091002
80022;A455;;Arzano;Arzano;NA;063005
33098;A456;31/12/2014;Arzene;Arzene;PN;093003
;A457;31/12/1989;;Arzeno d'Oneglia;IM;008700
35020;A458;;Arzergrande;Arzergrande;PD;028007
36071;A459;;Arzignano;Arzignano;VI;024008
84046;A460;;Ascea;Ascea;SA;065009
53041;A461;;Asciano;Asciano;SI;052002
63100;A462;;Ascoli Piceno;Ascoli Piceno;AP;044007
71022;A463;;Ascoli Satriano;Ascoli Satriano;FG;071005
02020;A464;;Ascrea;Ascrea;RI;057004
36012;A465;;Asiago;Asiago;VI;024009
13032;A466;;Asigliano Vercellese;Asigliano Vercellese;VC;002007
36020;A467;;Asigliano Veneto;Asigliano Veneto;VI;024010
53048;A468;;Sinalunga;Sinalunga;SI;052033
;A469;31/12/1989;;Asnago;CO;013707
46041;A470;;Asola;Asola;MN;020002
31011;A471;;Asolo;Asolo;TV;026003
02041;A472;;Casperia;Casperia;RI;057012
20090;A473;;Assago;Assago;MI;015011
09032;A474;;Assemini;Assemini;CA;092003
06081;A475;;Assisi;Assisi;PG;054001
22033;A476;;Asso;Asso;CO;013013
09080;A477;;Assolo;Assolo;OR;095008
94010;A478;;Assoro;Assoro;EN;086003
14100;A479;;Asti;Asti;AT;005005
09080;A480;;Asuni;Asuni;OR;095009
67030;A481;;Ateleta;Ateleta;AQ;066005
85020;A482;;Atella;Atella;PZ;076006
;A483;31/12/1989;;Atella di Napoli;CE;061702
84030;A484;;Atena Lucana;Atena Lucana;SA;065010
66041;A485;;Atessa;Atessa;CH;069005
03042;A486;;Atina;Atina;FR;060011
84010;A487;;Atrani;Atrani;SA;065011
64032;A488;;Atri;Atri;TE;067004
83042;A489;;Atripalda;Atripalda;AV;064006
05012;A490;;Attigliano;Attigliano;TR;055006
33040;A491;;Attimis;Attimis;UD;030007
08030;A492;;Atzara;Atzara;NU;091003
61020;A493;31/12/2018;Auditore;Auditore;PU;041003
96011;A494;;Augusta;Augusta;SR;089001
84031;A495;;Auletta;Auletta;SA;065012
54011;A496;;Aulla;Aulla;MS;045001
28812;A497;;Aurano;Aurano;VB;103005
;A498;31/12/1989;;Auremo di Sopra;TS;032718
18020;A499;;Aurigo;Aurigo;IM;008005
;A500;31/12/1989;;Aurisina;TS;032719
32041;A501;;Auronzo di Cadore;Auronzo di Cadore;BL;025005
03040;A502;;Ausonia;Ausonia;FR;060012
08030;A503;;Austis;Austis;NU;091004
;A504;31/12/1989;;Auzate;NO;003711
;A505;31/12/1989;;Auzza;GO;031737
16036;A506;;Avegno;Avegno;GE;010002
39010;A507;;Hafling;Avelengo;BZ;021005
83021;A508;;Avella;Avella;AV;064007
83100;A509;;Avellino;Avellino;AV;064008
;A510;31/12/1989;;Avenone;BS;017703
24010;A511;;Averara;Averara;BG;016014
81031;A512;;Aversa;Aversa;CE;061005
;A513;31/12/1989;;Avesa;VR;023700
74020;A514;;Avetrana;Avetrana;TA;073001
67051;A515;;Avezzano;Avezzano;AQ;066006
33081;A516;;Aviano;Aviano;PN;093004
24020;A517;;Aviatico;Aviatico;BG;016015
10051;A518;;Avigliana;Avigliana;TO;001013
85021;A519;;Avigliano;Avigliano;PZ;076007
38063;A520;;Avio;Avio;TN;022007
11010;A521;;Avise;Avise;AO;007006
96012;A522;;Avola;Avola;SR;089002
15050;A523;;Avolasca;Avolasca;AL;006010
;A524;31/12/1989;;Avuglione E Vernone;TO;001701
10010;A525;;Azeglio;Azeglio;TO;001014
26010;A526;;Azzanello;Azzanello;CR;019004
14030;A527;;Azzano d'Asti;Azzano d'Asti;AT;005006
24052;A528;;Azzano San Paolo;Azzano San Paolo;BG;016016
25020;A529;;Azzano Mella;Azzano Mella;BS;017008
33082;A530;;Azzano Decimo;Azzano Decimo;PN;093005
21022;A531;;Azzate;Azzate;VA;012006
21030;A532;;Azzio;Azzio;VA;012007
